objectid,subject,filename,title,format,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5
8404200143,HSC,demo_001.jpg,LAUREL HILL CEMETERY,image/jpeg,LAUREL HILL CEMETERY,,,3822 RIDGE AVE,PHILADELPHIA,PA,19132-1881,19132,,,,,,,,,,,,,,,,,,,,,,-75.18879,40.00679,2,2,1,42,101,3822 RIDGE AVE,PHILADELPHIA,PA,19132-1881,19132
8404200159,HSC,demo_001.jpg,HISTORIC RITTENHOUSE TOWN,image/jpeg,HISTORIC RITTENHOUSE TOWN,,,206 LINCOLN DRIVE,PHILADELPHIA,PA,19144,19144,,,,,,2154385711,HTTP://RITTENHOUSETOWN.ORG/,,,,,,,,,,,,,,,-75.19197,40.02759,2,2,1,42,101,206 LINCOLN DRIVE,PHILADELPHIA,PA,19144,19144
8404200176,HSC,demo_001.jpg,HISTORICAL SOCIETY OF PENNSLYVANIA,image/jpeg,HISTORICAL SOCIETY OF PENNSLYVANIA,,,1300 LOCUST STREET,PHILADELPHIA,PA,1910,1910,,,,,,2157326200,,,,,,,,,,,,,,,,-75.16272,39.94772,2,2,1,42,101,1300 LOCUST STREET,PHILADELPHIA,PA,1910,1910
8404200212,HSC,demo_001.jpg,HISTORIC BARTRAM'S GARDEN,image/jpeg,JOHN BARTRAM ASSOCIATION,,,54TH STREET AND LINDBERGH BOULEVARD,PHILADELPHIA,PA,19143,19143,,,,,,2157295281,HTTP://BARTRAMSGARDEN.ORG/,JOHN BARTRAM ASSOCIATION,201406,6,1749922,1396052,54TH LINDBERGH BLVD,PHILADELPHIA,PA,19143-0000,197502,,,,,-75.22507,39.94557,2,2,1,42,,54TH LINDBERGH BLVD,PHILADELPHIA,PA,19143-0000,19143
8404200221,HSC,demo_001.jpg,ELFRETH'S ALLEY ASSOCIATION,image/jpeg,ELFRETH'S ALLEY ASSOCIATION,,,126 ELFRETHS ALLEY,PHILADELPHIA,PA,19106,19106,,,,,,2155740560,,,,,,,,,,,,,,,,-75.14228,39.95263,2,2,1,42,101,126 ELFRETHS ALLEY,PHILADELPHIA,PA,19106,19106
8404200247,HSC,demo_001.jpg,CARPENTER'S HALL,image/jpeg,CARPENTER'S HALL,,,320 CHESTNUT STREET,PHILADELPHIA,PA,19106,19106,,,,,,2159250167,,,,,,,,,,,,,,,,-75.14635,39.94858,2,2,1,42,101,320 CHESTNUT STREET,PHILADELPHIA,PA,19106,19106
8404200267,HSC,demo_001.jpg,AMERICAN SWEDISH HISTORICAL MUSEUM,image/jpeg,AMERICAN SWEDISH HISTORICAL MUSEUM,,,1900 PATTISON AVENUE,PHILADELPHIA,PA,19145,19145,,,,,,2153891776,,,,,,,,,,,,,,,,-75.18187,39.90633,2,2,1,42,101,1900 PATTISON AVENUE,PHILADELPHIA,PA,19145,19145
8404200310,HSC,demo_001.jpg,RED MONASTERY PROJECT,image/jpeg,RED MONASTERY PROJECT INC,,,10 S LETITIA ST 203,PHILADELPHIA,PA,19106-3025,19106,,,,,,,,RED MONASTERY PROJECT INC,201312,2,11456,11456,10 SOUTH LETITIA ST APT,PHILADELPHIA,PA,19106-3025,200709,,,,,-75.14327,39.94937,2,2,1,42,101,10 SOUTH LETITIA ST APT,PHILADELPHIA,PA,19106-3025,19106
8404200316,HSC,demo_001.jpg,MILFORD HISTORICAL SOCIETY TRUST UA 9519001900,image/jpeg,MILFORD HISTORICAL SOCIETY TRUST UA 9519001900,,,101N INDEPENDENCE MALL E MACY 1,PHILADELPHIA,PA,19106,19106,,,,,,,,MILFORD HISTORICAL SOCIETY TRUST UA 9519001900,201404,3,65399,46955,34 HIGH ST,MILFORD,CT,06460-4732,198804,,,,,-73.05651,41.21825,1,1,1,9,9,34 HIGH ST,MILFORD,CT,06460-4732,6460
8404200397,HSC,demo_001.jpg,OLDE FORT MIFFLIN HISTORICAL SOCIETY,image/jpeg,OLDE FORT MIFFLIN HISTORICAL SOCIETY INC,,,4335 OSAGE AVE,PHILADELPHIA,PA,19104,19104,,,,,,,,OLDE FORT MIFFLIN HISTORICAL SOCIETY INC,201406,0,0,0,4335 OSAGE AVE,PHILADELPHIA,PA,19104-3905,198803,,,,,-75.21002,39.95098,2,2,1,42,101,4335 OSAGE AVE,PHILADELPHIA,PA,19104-3905,19104
8404200413,HSC,demo_001.jpg,DESHLER MORRIS HOUSE,image/jpeg,DESHLER MORRIS HOUSE COMMITTEE INC,,,5442 GERMANTOWN AVENUE,PHILADELPHIA,PA,19144-2224,19144,,,,,,,,DESHLER MORRIS HOUSE COMMITTEE INC,201312,0,0,0,5442 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2224,201201,,,,,-75.17284,40.03407,2,2,1,42,101,5442 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2224,19144
8404200424,HSC,demo_001.jpg,AMERICAN WOMENS HERITAGE SOCIETY,image/jpeg,AMERICAN WOMENS HERITAGE SOCIETY,,,2000 BELMONT MANSION DR,PHILADELPHIA,PA,19131-3713,19131,,,,,,,HTTP://WWW.BELMONTMANSION.ORG,AMERICAN WOMENS HERITAGE SOCIETY,201306,4,123240,123240,2000 BELMONT MANSION DR,PHILADELPHIA,PA,19131-3713,198803,,,,,-75.21289,39.99183,2,2,1,42,101,2000 BELMONT MANSION DR,PHILADELPHIA,PA,19131-3713,19131
8404200437,HSC,demo_001.jpg,HISTORICAL SOCIETY OF PENNSYLVANIA,image/jpeg,HISTORICAL SOCIETY OF PENNSYLVANIA,HISTORICAL SOCIETY OF PENNSYLVANIA,,1300 LOCUST ST,PHILADELPHIA,PA,19107-5661,19107,,,,,,2157326200,HTTP://HSP.ORG/,HISTORICAL SOCIETY OF PENNSYLVANIA,201406,8,10143431,4300581,1300 LOCUST ST,PHILADELPHIA,PA,19107-5661,192812,,,,,-75.16272,39.94772,2,2,1,42,101,1300 LOCUST ST,PHILADELPHIA,PA,19107-5661,19107
8404200449,HSC,demo_001.jpg,AMERICAN PHILOSOPHICAL SOCIETY,image/jpeg,AMERICAN PHILOSOPHICAL SOCIETY,,,104 S 5TH ST,PHILADELPHIA,PA,19106-3387,19106,,,,,,2154403440,HTTP://WWW.APSMUSEUM.ORG,AMERICAN PHILOSOPHICAL SOCIETY,201312,8,34172009,17265388,104 S 5TH ST,PHILADELPHIA,PA,19106-3309,193411,,,,,-75.14928,39.94898,2,2,1,42,101,104 S 5TH ST,PHILADELPHIA,PA,19106-3309,19106
8404200452,HSC,demo_001.jpg,GERMAN SOCIETY OF PENNSYLVANIA,image/jpeg,GERMAN SOCIETY OF PENNSYLVANIA,,,611 SPRING GARDEN ST,PHILADELPHIA,PA,19123-3505,19123,,,,,,2156272332,HTTP://WWW.GERMANSOCIETY.ORG,GERMAN SOCIETY OF PENNSYLVANIA,201406,5,737594,737594,611 SPRING GARDEN ST,PHILADELPHIA,PA,19123-3505,194607,,,,,-75.14833,39.96151,2,2,1,42,101,611 SPRING GARDEN ST,PHILADELPHIA,PA,19123-3505,19123
8404200497,HSC,demo_001.jpg,GERMANTOWN MNNNITE HISTORIC TRUST,image/jpeg,GERMANTOWN MENNONITE HISTORIC TRUST,,,6133 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2046,19144,,,,,,2158430943,HTTP://WWW.MEETINGHOUSE.INFO/,GERMANTOWN MENNONITE HISTORIC TRUST,,0,,,6133 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2046,198406,,,,,-75.17927,40.04163,2,2,1,42,101,6133 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2046,19144
8404200512,HSC,demo_001.jpg,EBENEZER MAXWELL MANSION,image/jpeg,EBENEZER MAXWELL MANSION INC,,,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,19144-3210,19144,,,,,,2154381861,HTTP://EBENEZERMAXWELLMANSION.ORG/,EBENEZER MAXWELL MANSION INC,201312,0,0,0,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,19144-3210,197802,,,,,-75.18473,40.03689,2,2,1,42,101,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,19144-3210,19144
8404200659,HSC,demo_001.jpg,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,image/jpeg,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,,239 ARCH ST,PHILADELPHIA,PA,19106-1915,19106,,,,,,2156861252,HTTP://HISTORICPHILADELPHIA.ORG/BETSY-ROSS-HOUSE/WHAT-TO-SEE/,,,,,,,,,,,,,,,-75.14461,39.95228,2,2,1,42,101,239 ARCH ST,PHILADELPHIA,PA,19106-1915,19106
8404200692,HSC,demo_001.jpg,BRIDESBURG HISTORICAL SOCIETY,image/jpeg,BRIDESBURG HISTORICAL SOCIETY,,,2801 BRILL STREET,PHILADELPHIA,PA,19137,19137,,,,,,2157441674,,,,,,,,,,,,,,,,-75.06376,40.00311,2,2,1,42,101,2801 BRILL STREET,PHILADELPHIA,PA,19137,19137
8404200699,HSC,demo_001.jpg,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS FOR THE THIRD CIRCUIT,image/jpeg,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS 3R,,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS 3RD,615 CHESTNUT STREET PO BOX 40007,PHILADELPHIA,PA,19106,19106,,,,,,,,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS 3R,201412,0,0,0,601 MARKET STREET,PHILADELPHIA,PA,19106-1729,199109,,,,,-75.15037,39.95082,2,2,1,42,101,601 MARKET STREET,PHILADELPHIA,PA,19106-1729,19106
8404200707,HSC,demo_001.jpg,HISTORIC ST PETERS CHURCH PRESERVATION CORP,image/jpeg,HISTORIC ST PETERS CHURCH PRESERVATION CORP,,,313 PINE ST,PHILADELPHIA,PA,19106-4212,19106,,,,,,2159255968,HTTP://WWW.STPETERSPHILA.ORG,HISTORIC ST PETERS CHURCH PRESERVATION CORP,201312,6,1401073,1315124,313 PINE ST,PHILADELPHIA,PA,19106-4212,199203,,,,,-75.14769,39.94357,2,2,1,42,101,313 PINE ST,PHILADELPHIA,PA,19106-4212,19106
8404200718,HSC,demo_001.jpg,ISLAMIC CULTURAL PRESERVATION & INFORMATION COUNCIL,image/jpeg,ISLAMIC CULTURAL PRESERVATION & INFORMATION COUNCIL,,,4243 LANCASTER AVENUE,PHILADELPHIA,PA,19104-1470,19104,,,,,,,,ISLAMIC CULTURAL PRESERVATION & INFORMATION COUNCIL,201312,4,110915,110915,4243 LANCASTER AVE,PHILADELPHIA,PA,19104-1470,199308,,,,,-75.20876,39.96744,2,2,1,42,101,4243 LANCASTER AVE,PHILADELPHIA,PA,19104-1470,19104
8404200769,HSC,demo_001.jpg,AFRICAN AMERICAN GENEALOGY GROUP,image/jpeg,AFRICAN AMERICAN GENEALOGY GROUP,,,PO BOX 27356,PHILADELPHIA,PA,19118-0356,19118,,,,,,2155726063,HTTP://AAGG.BLACKHOUSECOLLECTIVE.COM/BLOG/,AFRICAN AMERICAN GENEALOGY GROUP,201406,0,0,0,PO BOX 27356,PHILADELPHIA,PA,19118-0356,200103,,,,,-75.20317,40.07268,2,2,1,42,101,PO BOX 27356,PHILADELPHIA,PA,19118-0356,19118
8404200785,HSC,demo_001.jpg,JOHNSON HOUSE HISTORIC SITE,image/jpeg,JOHNSON HOUSE HISTORIC SITE INC,,,6306 GERMANTOWN AVE,PHILADELPHIA,PA,19144-1908,19144,,,,,,2154381768,HTTP://WWW.JOHNSONHOUSE.ORG,JOHNSON HOUSE HISTORIC SITE INC,201312,4,104478,104478,6306 GERMANTOWN AVE,PHILADELPHIA,PA,19144-1908,199702,,,,,-75.18142,40.04391,2,2,1,42,101,6306 GERMANTOWN AVE,PHILADELPHIA,PA,19144-1908,19144
8404200818,HSC,demo_001.jpg,MARIAN ANDERSON HISTORICAL SOCIETY,image/jpeg,MARIAN ANDERSON HISTORICAL SOCIETY,,,762 S MARIAN ANDERSON WAY,PHILADELPHIA,PA,19146,19146,,,,,,2157329505,HTTP://MARIANANDERSONHISTORICALSOCIETY.WEEBLY.COM/,,,,,,,,,,,,,,,-75.17753,39.94032,2,2,1,42,,762 S MARIAN ANDERSON WAY,PHILADELPHIA,PA,19146,19146
8404200840,HSC,demo_001.jpg,LIGHTS OF LIBERTY,image/jpeg,LIGHTS OF LIBERTY INC,,,150 SOUTH INDEPENDENCE MALL WEST NO,PHILADELPHIA,PA,19106-3413,19106,,,,,,,,LIGHTS OF LIBERTY INC,201312,0,0,0,150 SOUTH INDEPENDENCE M,PHILADELPHIA,PA,19106-3413,199904,,,,,-75.14765,39.94998,2,2,1,42,101,150 SOUTH INDEPENDENCE M,PHILADELPHIA,PA,19106-3413,19106
8404200867,HSC,demo_001.jpg,HISTORICAL SOCIETY OF TACONY,image/jpeg,HISTORICAL SOCIETY OF TACONY,,,4819 LONGSHORE AVENUE 2ND FLR,PHILADELPHIA,PA,19135-2333,19135,,,,,,2153382575,HTTP://WWW.HISTORICTACONY.ORG/,HISTORICAL SOCIETY OF TACONY,201312,3,95222,95222,4819 LONGSHORE AVE,PHILADELPHIA,PA,19135-2333,200103,,,,,-75.04164,40.02438,2,2,1,42,101,4819 LONGSHORE AVE,PHILADELPHIA,PA,19135-2333,19135
8404200891,HSC,demo_001.jpg,ROXBOROUGH MANAYUNK WISSAHICKON HISTORICAL SOCIETY,image/jpeg,ROXBOROUGH MANAYUNK WISSAHICKON HISTORICAL SOCIETY,,,6245 RIDGE AVENUE,PHILADELPHIA,PA,19128,19128,,,,,,2156852550,,ROXBOROUGH MANAYUNK WISSAHICKON HISTORICAL SOCIETY,201412,0,0,0,6245 RIDGE AVE,PHILADELPHIA,PA,19128-2630,200912,,,,,-75.21752,40.03651,2,2,1,42,101,6245 RIDGE AVE,PHILADELPHIA,PA,19128-2630,19128
8404200931,HSC,demo_001.jpg,GERMANTOWN HISTORICAL SOCIETY,image/jpeg,GERMANTOWN HISTORICAL SOCIETY,,,5501 GERMANTOWN AVE,PHILADELPHIA,PA,19144,19144,,,,,,2158440514,HTTP://WWW.GERMANTOWNHISTORY.ORG,GERMANTOWN HISTORICAL SOCIETY,201312,3,38144,38144,5501-5505 GERMANTOWN AVE,PHILADELPHIA,PA,19144-0000,194808,,,,,-75.17196,40.03417,2,2,1,42,101,5501-5505 GERMANTOWN AVE,PHILADELPHIA,PA,19144-0000,19144
8404200932,HSC,demo_001.jpg,SWEDISH COLONIAL SOCIETY,image/jpeg,SWEDISH COLONIAL SOCIETY,,,916 S SWANSON ST,PHILADELPHIA,PA,19147-4332,19147,,,,,,2153891513,HTTPS://COLONIALSWEDES.NET/CONTACT-US/,SWEDISH COLONIAL SOCIETY,201312,3,42417,23960,916 S SWANSON ST,PHILADELPHIA,PA,19147-4332,195911,,,,,-75.14338,39.93483,2,2,1,42,101,916 S SWANSON ST,PHILADELPHIA,PA,19147-4332,19147
8404200933,HSC,demo_001.jpg,PHILADELPHIA SOCIETY FOR THE PRESERVATION OF LANDMARKS,image/jpeg,PHILADELPHIA SOCIETY FOR THE PRESERVATION OF LANDMARKS,PHILADELPHIA SOCIETY FOR THE PRESERVATION OF LANDMARKS,,321 S 4TH ST,PHILADELPHIA,PA,19106-4218,19106,,,,,,2159252251,HTTP://WWW.BELLMUSEUM.UMN.EDU/,PHILADELPHIA SOCIETY FOR THE PRESERVATION OF LANDMARKS,201309,6,1410391,1355777,321 S 4TH ST,PHILADELPHIA,PA,19106-4218,193205,,,,,-75.14847,39.94442,2,2,1,42,101,321 S 4TH ST,PHILADELPHIA,PA,19106-4218,19106
8404200934,HSC,demo_001.jpg,AMERICAN CATHOLIC HISTORICAL SOCIETY,image/jpeg,AMERICAN CATHOLIC HISTORICAL SOCIETY OF PHILADELPHIA,,AMERICAN CATHOLIC HISTORICAL SOCIETY OF PHILADELPHIA,263 S 4TH ST,PHILADELPHIA,PA,19106-3819,19106,,,,,,2159255752,HTTP://WWW.AMCHS.ORG,AMERICAN CATHOLIC HISTORICAL SOCIETY OF PHILADELPHIA,201312,4,126963,91105,263 S 4TH ST,PHILADELPHIA,PA,19106-3819,196007,,,,,-75.14827,39.9453,2,2,1,42,101,263 S 4TH ST,PHILADELPHIA,PA,19106-3819,19106
8404200942,HSC,demo_001.jpg,HISTORICAL SOCIETY OF FRANKFORD,image/jpeg,HISTORICAL SOCIETY OF FRANKFORD,HISTORICAL SOCIETY OF FRANKFORD,,1507 ORTHODOX ST,PHILADELPHIA,PA,19124-3605,19124,,,,,,2157436030,HTTP://THEHISTORICALSOCIETYOFFRANKFORD.ORG,HISTORICAL SOCIETY OF FRANKFORD,201312,2,10097,,1507 ORTHODOX ST,PHILADELPHIA,PA,19124-3605,195806,,,,,-75.0867,40.01565,2,2,1,42,101,1507 ORTHODOX ST,PHILADELPHIA,PA,19124-3605,19124
8404200969,HSC,demo_001.jpg,CHESTNUT HILL HISTORICAL SOCIETY,image/jpeg,CHESTNUT HILL HISTORICAL SOCIETY,,,8708 GERMANTOWN AVE,PHILADELPHIA,PA,19118-2717,19118,,,,,,2152470417,HTTP://WWW.CHHIST.ORG/,CHESTNUT HILL HISTORICAL SOCIETY,201406,5,532754,425036,8708 GERMANTOWN AVE,PHILA,PA,19118-2717,196808,,,,,-75.21046,40.07765,2,2,1,42,101,8708 GERMANTOWN AVE,PHILA,PA,19118-2717,19118
8404201046,HSC,demo_001.jpg,JOHN BARTRAM ASSOCIATION,image/jpeg,JOHN BARTRAM ASSOCIATION,,,54TH & LINDBERGH BLVD,PHILADELPHIA,PA,19143,19143,,,,,,2157295281,HTTP://BARTRAMSGARDEN.ORG/,JOHN BARTRAM ASSOCIATION,201406,6,1749922,1396052,54TH LINDBERGH BLVD,PHILADELPHIA,PA,19143-0000,197502,,,,,-75.22507,39.94557,2,2,1,42,,54TH LINDBERGH BLVD,PHILADELPHIA,PA,19143-0000,19143
8404201384,HSC,demo_001.jpg,PHILADELPHIA FOUNTAIN SOCIETY,image/jpeg,PHILADELPHIA FOUNTAIN SOCIETY,,,255 S 7TH ST,PHILADELPHIA,PA,19106-4135,19106,,,,,,,,PHILADELPHIA FOUNTAIN SOCIETY,201312,5,861873,4169,255 S 7TH ST,PHILADELPHIA,PA,19106-4135,200202,,,,,-75.15301,39.94587,2,2,1,42,101,255 S 7TH ST,PHILADELPHIA,PA,19106-4135,19106
8404201477,HSC,demo_001.jpg,OVERSEAS CHINA ANTIQUE PROTECTION ASSOCIATION,image/jpeg,OVERSEAS CHINA ANTIQUE PROTECTION ASSOCIATION,,,110 S 20TH STREET 1ST FLOOR,PHILADELPHIA,PA,19103-4486,19103,,,,,,,,OVERSEAS CHINA ANTIQUE PROTECTION ASSOCIATION,201212,0,0,0,110 S 20TH STREET 1ST FL,PHILADELPHIA,PA,19103-4486,201108,,,,,-75.17382,39.95161,2,2,1,42,101,110 S 20TH STREET 1ST FL,PHILADELPHIA,PA,19103-4486,19103
8404201501,HSC,demo_001.jpg,FIRST TROOP PHILADELPHIA CITY CAVALRY,image/jpeg,FIRST TROOP PHILADELPHIA CITY CAVALRY MILITARY HERITAGE AND,,FIRST TROOP PHILADELPHIA CITY CAVALRY MILITARY HERITAGE AND,22 S 23RD ST,PHILADELPHIA,PA,19103-3004,19103,,,,,,,,FIRST TROOP PHILADELPHIA CITY CAVALRY MILITARY HERITAGE AND,201312,4,225938,220118,22 S 23RD ST,PHILADELPHIA,PA,19103-3004,201107,,,,,-75.17855,39.95325,2,2,1,42,101,22 S 23RD ST,PHILADELPHIA,PA,19103-3004,19103
8404201506,HSC,demo_001.jpg,JOHN COLTRANE HOUSE,image/jpeg,JOHN COLTRANE HOUSE,,,1431 FITZWATER STREET,PHILADELPHIA,PA,19146-2227,19146,,,,,,,HTTP://WWW.JOHNCOLTRANEHOUSE.ORG/,JOHN COLTRANE HOUSE,201306,0,0,0,1431 FITZWATER ST,PHILADELPHIA,PA,19146-2227,201108,,,,,-75.16697,39.94211,2,2,1,42,101,1431 FITZWATER ST,PHILADELPHIA,PA,19146-2227,19146
8404201528,HSC,demo_001.jpg,WOODLANDS TRUST FOR HISTORIC PRESERVATION,image/jpeg,WOODLANDS TRUST FOR HISTORIC PRESERVATION,,,4000 WOODLAND AVE,PHILADELPHIA,PA,19104-4560,19104,,,,,,,,WOODLANDS TRUST FOR HISTORIC PRESERVATION,201403,5,500144,500144,4000 WOODLAND AVE,PHILADELPHIA,PA,19104-4560,199810,,,,,-75.20397,39.94892,2,2,1,42,101,4000 WOODLAND AVE,PHILADELPHIA,PA,19104-4560,19104
